time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1608188640,22192.1,22195.4,22192,22194.5,4.617,102483.93,force_direct,
1608188700,22156.6,22192.1,22138.2,22192.1,25.08,555601.33,force_direct,
1608188760,22149,22163,22131.5,22156.6,24.39,540266.24,force_direct,
1608188820,22109.4,22149,22109.4,22149,26.17,578989.82,force_direct,
1608188880,22167.1,22168.5,22109.4,22109.4,6.549,145008.47,force_direct,
1608188940,22178.5,22178.5,22153,22167.1,1.283,28441.03,force_direct,
1608189000,22180,22194.8,22177.9,22178.5,2.637,58499.57,force_direct,
1608189060,22186.3,22188.9,22180,22180,0.4678,10380.71,force_direct,
1608189120,22225,22225,22186.3,22186.3,31.09,690552.47,force_direct,
1608189180,22250,22250,22225,22225,14.81,329315.44,force_direct,
1608189240,22260,22260,22250,22250,9.898,220269.73,force_direct,
1608189300,22279.9,22280,22260,22260,12.02,267586.03,force_direct,
1608189360,22292.9,22298.5,22279.9,22279.9,34.94,778831.08,force_direct,
1608189420,22277.1,22293.2,22277.1,22292.9,12.97,289146.59,force_direct,
1608189480,22299,22299,22277.1,22277.1,5.589,124568.65,force_direct,
1608189540,22299,22300,22299,22299,7.019,156526.68,force_direct,
1608189600,22310,22315.6,22298.9,22299,9.083,202576.77,force_direct,
1608189660,22322,22328,22310,22310,37.98,847692.87,force_direct,
1608189720,22320.8,22325,22318.3,22322,4.093,91365.49,force_direct,
1608189780,22303.3,22324.1,22299.3,22320.8,3.6,80315.57,force_direct,
1608189840,22325,22325,22300.9,22303.3,0.1685,3758.99,force_direct,
1608189900,22291,22325,22291,22325,1.262,28160.55,force_direct,
1608189960,22284.1,22291,22263.4,22291,20.79,462942.02,force_direct,
1608190020,22275.1,22289.8,22275,22284.1,1.366,30447.55,force_direct,
1608190080,22276.6,22278.8,22275,22275.1,2.479,55225.26,force_direct,
1608190140,22270.6,22276.7,22270.6,22276.6,12.14,270390.2,force_direct,
1608190200,22269.5,22271.5,22266,22270.6,9.473,210964.64,force_direct,
1608190260,22274.4,22274.5,22268.2,22269.5,1.118,24904.18,force_direct,
1608190320,22313.3,22325,22274.4,22274.4,25.1,560051.96,force_direct,
1608190380,22350,22350,22313.3,22313.3,36.38,812565.01,force_direct,
1608190440,22348.5,22355,22333.1,22350,12.24,273490.01,force_direct,
1608190500,22316.3,22348.5,22312.9,22348.5,7.535,168257.39,force_direct,
1608190560,22311.6,22316.3,22303.3,22316.3,5.452,121627.22,force_direct,
1608190620,22302,22311.7,22302,22311.6,3.865,86233.42,force_direct,
1608190680,22290.1,22310.1,22290,22302,13.48,300655.92,force_direct,
1608190740,22290,22292.8,22286.8,22290.1,2.762,61565.15,force_direct,
1608190800,22296.5,22311.2,22289.5,22290,8.793,196066.73,force_direct,
1608190860,22290.7,22296.6,22288.8,22296.5,5.233,116649.36,force_direct,
1608190920,22294.6,22295,22281.5,22290.7,3.809,84902.83,force_direct,
1608190980,22303,22303,22292.1,22294.6,20.84,464721.18,force_direct,
1608191040,22355,22355,22302.9,22303,40.64,907497.87,force_direct,
1608191100,22350,22355,22350,22355,14.38,321531.72,force_direct,
1608191160,22357,22357,22350,22350,17.57,392701.45,force_direct,
1608191220,22358.5,22358.5,22353.7,22357,6.299,140822.05,force_direct,
1608191280,22447.7,22477.2,22358.5,22358.5,85.87,1923672.14,force_direct,
1608191340,22422.3,22447.7,22374.4,22447.7,17.78,398490.2,force_direct,
1608191400,22403.6,22424.2,22403.5,22422.3,4.615,103444.84,force_direct,
1608191460,22417.9,22437.2,22403.6,22403.6,2.654,59504.28,force_direct,
1608191520,22433.4,22433.4,22411.2,22417.9,4.864,109073.75,force_direct,
1608191580,22469.7,22470.1,22433,22433.4,10.7,240268.45,force_direct,
1608191640,22435.1,22471.7,22417.8,22469.7,5.649,126759.62,force_direct,
1608191700,22430.1,22439,22413.7,22435.1,5.853,131286.99,force_direct,
1608191760,22416.5,22437.9,22416.5,22430.1,16.09,360833.53,force_direct,
1608191820,22443.4,22443.4,22405,22416.5,1.811,40588.97,force_direct,
1608191880,22457.4,22465,22443.4,22443.4,9.372,210495.29,force_direct,
1608191940,22480,22480,22457.4,22457.4,3.558,79944.75,force_direct,
1608192000,22458.1,22488.5,22450,22480,9.481,212990.63,force_direct,
1608192060,22431.6,22458.1,22431.5,22458.1,1.682,37755.33,force_direct,
1608192120,22458,22465,22431,22431.6,9.802,220044,force_direct,
1608192180,22524.8,22524.8,22457.6,22458,21.09,474525.55,force_direct,
1608192240,22596.8,22597,22524.8,22524.8,17.17,387425.56,force_direct,
1608192300,22626.9,22638,22570.1,22596.8,45.59,1030500.71,force_direct,
1608192360,22573.7,22647.5,22573.5,22626.9,24.97,564512.47,force_direct,
1608192420,22570,22588.8,22570,22573.7,5.071,114492.95,force_direct,
1608192480,22548.5,22570.1,22512.6,22570,14.91,336232.79,force_direct,
1608192540,22581.1,22599.7,22548.5,22548.5,6.439,145448.59,force_direct,
1608192600,22556.6,22587.9,22549.3,22581.1,9.613,216925.97,force_direct,
1608192660,22605.9,22606,22556.6,22556.6,5.851,132178.36,force_direct,
1608192720,22606,22606,22558.9,22605.9,22.3,503529.98,force_direct,
1608192780,22685.5,22718.2,22588.6,22606,75.88,1720589.53,force_direct,
1608192840,22672.8,22696.3,22663.8,22685.5,10.58,239862.29,force_direct,
1608192900,22730,22749.9,22670,22672.8,13.05,296339.56,force_direct,
1608192960,22781.2,22795,22693.3,22730,25.46,579211.38,force_direct,
1608193020,22744.4,22805.6,22737.4,22781.2,34.83,793422.43,force_direct,
1608193080,22786.3,22796.8,22735.7,22744.4,22.98,523290.73,force_direct,
1608193140,22852.5,22870,22785,22786.3,39.07,891365.77,force_direct,
1608193200,22849.4,22870.2,22803.9,22852.5,14.52,331409.22,force_direct,
1608193260,22843.2,22900,22840,22849.4,33.32,761857.51,force_direct,
1608193320,22711.4,22843.3,22674.2,22843.2,31.04,707191.79,force_direct,
1608193380,22722.9,22736.6,22606.3,22711.4,27.74,628776.65,force_direct,
1608193440,22736.4,22784.9,22707.7,22722.9,11.04,250919.63,force_direct,
1608193500,22730.2,22800,22713.8,22736.4,25.89,588727.31,force_direct,
1608193560,22701.1,22745,22701.1,22730.2,17,386577.43,force_direct,
1608193620,22680.9,22718.4,22660.9,22701.1,18.12,411049.84,force_direct,
1608193680,22704.6,22750,22680.9,22680.9,20.99,476761.86,force_direct,
1608193740,22731.1,22745.1,22700,22704.6,7.51,170541.69,force_direct,
